title,address,price,beds,link
The Ridge at North Pointe,"5025 Huntly Ridge St, Charlottesville, VA 22911","$1,760 - $2,958",1-3 Beds,https://www.apartments.com/the-ridge-at-north-pointe-charlottesville-va/vjwkl3f/
Six Hundred West Main,"600 W Main St, Charlottesville, VA 22903","$1,564 - $5,393",Studio - 3 Beds,https://www.apartments.com/six-hundred-west-main-charlottesville-va/vw0g2tf/
Altoview Apartment Homes,"310 Fisher St, Charlottesville, VA 22911","$1,925 - $3,277",1-3 Beds,https://www.apartments.com/altoview-apartment-homes-charlottesville-va/1b8gds4/
The Elysian at Stonefield,"2105 Bond St, Charlottesville, VA 22901","$1,960 - $3,806",Studio - 3 Beds,https://www.apartments.com/the-elysian-at-stonefield-charlottesville-va/x0fbs5q/
5 Row Apartments,"506 Five Row Way, Charlottesville, VA 22903","$1,900 - $2,280",1-2 Beds,https://www.apartments.com/5-row-apartments-charlottesville-va/vzj5d5g/
The Arrowood,"463 Rio Road West, Charlottesville, VA 22901",N/A,Studio - 3 Beds,https://www.apartments.com/the-arrowood-charlottesville-va/rlr4923/
MAA Stonefield,"3105 District Ave, Charlottesville, VA 22901","$2,045 - $5,073",1-2 Beds,https://www.apartments.com/maa-stonefield-charlottesville-va/0vxe0e2/
City Walk Apartments,"1111 E Water St, Charlottesville, VA 22902","$1,735 - $2,275",Studio - 2 Beds,https://www.apartments.com/city-walk-apartments-charlottesville-va/2n94l4b/
Arden Place,"1810 Arden Creek Ln, Charlottesville, VA 22901","$1,732 - $2,870",Studio - 3 Beds,https://www.apartments.com/arden-place-charlottesville-va/0cf24b1/
Cobalt Ridge,"1000 Old Brook Rd, Charlottesville, VA 22901","$1,616 - $2,226",1-3 Beds,https://www.apartments.com/cobalt-ridge-charlottesville-va/5y6b85n/